City,Population
Los Angeles,"3,928,864"
San Diego,"1,381,069"
San Jose,"1,015,785"
East San Gabriel Valley,"952,352"
San Francisco,"852,469"
Fresno,"515,986"
Central Contra Costa,"486,883"
Sacramento,"485,199"
Long Beach,"473,577"
Oakland,"413,775"
North Coast,"376,527"
Bakersfield,"368,759"
Anaheim,"346,997"
Santa Ana,"334,909"
Upper San Gabriel Valley,"327,431"
Southwest San Gabriel Valley,"326,450"
Riverside,"319,504"
Stockton,"302,389"
South Coast,"298,389"
Chula Vista,"260,988"
West Contra Costa,"250,207"
Irvine,"248,531"
Central Coast,"238,434"
Fremont,"228,758"
San Bernardino,"215,213"
Modesto,"209,286"
Oxnard,"205,437"
Fontana,"204,950"
Moreno Valley,"202,976"
Huntington Beach,"200,809"
Glendale,"200,167"
Trabuco,"193,712"
Newhall,"192,980"
Perris Valley,"190,588"
Santa Clarita,"181,557"
El Toro,"178,968"
Garden Grove,"175,078"
Oceanside,"174,558"
Rancho Cucamonga,"174,305"
Santa Rosa,"174,170"
South Antelope Valley,"171,490"
Ontario,"169,089"
Elk Grove,"163,553"
Corona,"161,486"
Lancaster,"161,043"
Palmdale,"158,279"
Coachella Valley,"156,830"
Salinas,"156,677"
Hayward,"154,612"
North Antelope Valley,"153,969"
Pomona,"153,350"
Escondido,"150,243"
Sunnyvale,"149,980"
Torrance,"148,495"
Pasadena,"140,881"
Orange,"139,812"
Fullerton,"139,677"
South Bay Cities,"134,363"
Thousand Oaks,"129,342"
Visalia,"129,281"
Roseville,"128,615"
Concord,"127,522"
Simi Valley,"126,871"
East Los Angeles,"126,496"
Santa Clara,"122,192"
Victorville,"121,901"
Vallejo,"120,228"
Berkeley,"118,853"
El Monte,"116,631"
Downey,"114,172"
Costa Mesa,"112,784"
Carlsbad,"112,299"
Jurupa,"112,225"
Inglewood,"111,905"
Fairfield,"111,125"
Santa Maria Valley,"110,971"
Ventura,"110,873"
San Buenaventura (Ventura),"109,484"
Temecula,"109,428"
Antioch,"108,930"
Richmond,"108,565"
West Covina,"108,455"
Mather,"108,400"
Murrieta,"108,368"
Norwalk,"107,096"
Daly City,"106,094"
Burbank,"105,368"
Santa Maria,"103,410"
El Cajon,"103,091"
San Mateo,"102,893"
Rialto,"102,741"
Clovis,"102,189"
Compton,"98,597"
Vista,"98,079"
Mission Viejo,"97,209"
South Gate,"96,312"
Vacaville,"95,856"
Elsinore Valley,"93,311"
Carson,"93,271"
Santa Monica,"92,987"
San Marcos,"92,929"
Hesperia,"92,749"
Arden-Arcade,"92,186"
Westminster,"92,068"
Redding,"91,593"
Palos Verdes,"91,593"
Santa Barbara,"91,196"
San Leandro,"89,351"
Chico,"89,180"
Loomis Basin-Folsom Lake,"89,014"
Hawthorne,"87,583"
South El Dorado,"87,572"
Whittier,"87,318"
Newport Beach,"87,266"
Livermore,"86,870"
Citrus Heights,"86,145"
Tracy,"85,841"
Indio,"85,633"
Alhambra,"85,569"
Menifee,"85,182"
Chino,"84,723"
Buena Park,"83,105"
Hemet,"83,032"
Redwood City,"82,881"
East Kern,"82,330"
Merced,"81,743"
Lakewood,"81,653"
Tustin,"80,621"
Lake Forest,"80,148"
Napa,"80,011"
Mountain View,"79,378"
Bellflower,"78,236"
East Contra Costa,"78,216"
Pleasanton,"77,682"
Alameda,"77,660"
Baldwin Park,"77,119"
Chino Hills,"77,005"
Upland,"76,043"
Folsom,"75,361"
San Ramon,"75,332"
Perris,"73,756"
Milpitas,"73,672"
Union City,"73,621"
Manteca,"73,494"
Lynwood,"71,839"
Apple Valley,"71,595"
Turlock,"71,245"
Redlands,"70,622"
San Gorgonio Pass,"70,591"
Rancho Cordova,"69,740"
Redondo Beach,"68,149"
Pittsburg,"68,140"
Yorba Linda,"67,826"
Walnut Creek,"67,673"
South San Francisco,"67,009"
Palo Alto,"66,955"
Camarillo,"66,923"
Davis,"66,742"
Yuba City,"65,773"
Laguna Niguel,"65,448"
San Clemente,"65,326"
Pico Rivera,"64,235"
Lodi,"63,950"
Montebello,"63,929"
Madera,"63,605"
Florence-Graham,"63,387"
Santa Cruz,"63,364"
Encinitas,"62,254"
La Habra,"62,066"
Tulare,"61,867"
Carmichael,"61,762"
Monterey Park,"61,458"
Castro Valley,"61,388"
Cupertino,"60,668"
Gardena,"60,395"
Rocklin,"60,344"
National City,"60,343"
Lake Elsinore,"60,029"
Petaluma,"59,953"
Huntington Park,"59,362"
Ross Valley,"59,297"
San Rafael,"59,237"
La Mesa,"59,177"
Lompoc Valley,"58,405"
Arcadia,"58,232"
Woodland,"57,432"
South Whittier,"57,156"
Santee,"57,052"
Brentwood,"57,019"
Eastvale,"57,016"
Fountain Valley,"57,010"
Diamond Bar,"56,784"
Porterville,"55,466"
Paramount,"55,406"
Hanford,"55,065"
Novato,"55,005"
Rosemead,"54,947"
Dublin,"54,695"
Highland,"54,651"
Northeast Marin,"54,172"
Colton,"54,053"
Hacienda Heights,"54,038"
Cathedral City,"53,437"
Watsonville,"53,111"
Yucaipa,"53,096"
Delano,"52,651"
Gilroy,"52,533"
Placentia,"52,397"
West Sacramento,"51,847"
Southeast Marin,"51,775"
Glendora,"51,442"
Palm Desert,"51,202"
Aliso Viejo,"50,231"
Cerritos,"50,004"
Poway,"49,848"
La Mirada,"49,459"
